time,text,username,all_hashtages,amount_follwers
2021-09-25 00:05:39,b'@RyanGarciaESM is currently having the time of his life and the Yankees are destroying Boston. This might be the best day ever',b'Wed3ni',[],565
2021-09-25 00:05:35,b'@notKoze City flag/Boston Marathon colors',b'ZachOnTheRun',[],29
2021-09-25 00:05:23,b'@MicheleMyBell71 @sassyblondie1 @DeFrancKdefranc @johnnybruin @SteveJMacE @loveshockey20 @BruinsBreakdown @BruinsSandi Seattle plays in Boston 2-1-22 and Boston plays in Seattle 2-24',b'PGar58',[],2507
2021-09-25 00:05:19,b'Mizzou travels to Boston College to faceoff in one of the most talked about games of the week.   @andybackstrom previews the match up:   https://t.co/H9tp2AIbWV',b'Rivals',[],254614
2021-09-25 00:05:18,b'Boston is definitely getting bounced in the WC game if they get there. No doubt about it. #MLB',b'BKG_92',['MLB'],347
2021-09-25 00:05:05,"b""@Softly_Sarah Boston I love that Museum I can't wait to visit again.""",b'LuluJaynePaige',[],10496
2021-09-25 00:05:04,"b""Boston Teachers Union 'Very Happy' With CDC Move Letting Educators Get COVID-19 Boosters https://t.co/GAsOwY9qH3 via @WBUR""",b'beth_kontos',[],2243
2021-09-25 00:05:01,b'Tonight\xe2\x80\x99s mood thanks to the Boston Red Sox: https://t.co/O77hXteO5j',b'OffSeids',[],5375
2021-09-25 00:05:00,b'#Yankees up 6-0 over the Boston Piss Sox\xe2\x80\xa6 yellow sox\xe2\x80\xa6 whatever.',b'THE_Bob_SHOW',['Yankees'],82
2021-09-25 00:04:57,b'Just landed and saw @Yankees killing Boston let\xe2\x80\x99s set the mood drinks on me.',b'True2Jaysvision',[],364
2021-09-25 00:04:54,b'@NickFoligno @NHLBruins @RedSox Buffalo boy in Boston! Say hi to the Buffalo owner! Safe and healthy season Nick',b'scottop5dogs',[],144
2021-09-25 00:04:54,b'This fucking ump dude GIVE ME THAT you just called it for them',b'Boston_316',[],357
2021-09-25 00:04:51,b'Boston https://t.co/iuP5cRweJ7',b'sciluan_',[],796
2021-09-25 00:04:45,b'When did iglesias made it to Boston \xf0\x9f\x91\x80 lol',b'Soto_Nica',[],254
2021-09-25 00:04:40,b'@short_porch SWEEPING BOSTON 2-1 with Toronto and Sweep Tampa. Cole vs Sale coming soon in the BRONX\xf0\x9f\x99\x8f',b'BigSous25',[],518
2021-09-25 00:04:37,b'@Yankees What\xe2\x80\x99s that uniform from Boston Red Sox \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94',b'VanTokiRan',[],1130
2021-09-25 00:04:34,b'@Boston_Married @KetanJ0 @Rob_Stott I m handsumism',b'Him49729974',[],35
2021-09-25 00:04:34,"b'Beacon Hill Lovely 2 Beds 1 Bath -Located On Charles St In Boston Boston - $2,850: SPACIOUS BEDROOMS AMPLE CLOSETS CLOSE TO PUBLIC TRANSPORTATIION UPDATED KITCHEN AND BATHROOM LOTS OF NATURAL LIGHTING DONT WAIT CALL NOOW TO SCHEDULE YOUR SHOWING!! https://t.co/sXUOcFMY1M https://t.co/8LZcJQsIMa'",b'beaconhillpads',[],702
2021-09-25 00:04:30,b'Being home is so weird dude my dad is driving me to a party in Boston rn \xf0\x9f\x98\x82',b'cicuska_',[],163
2021-09-25 00:04:27,"b'My New York #Yankees giving Boston Red Sox ""That Work"" right now. Top of 3rd, Yankees 6 (after a Stanton Smash 3run Homer) Red Sox 0. #NYYvsBOS #NYY #SquadUp #MLB'",b'Cheavor',"['Yankees', 'NYYvsBOS', 'NYY', 'SquadUp', 'MLB']",1202
2021-09-25 00:04:23,b'@nando_medina_ @shrimpy1400 \xe2\x80\x9cMy proudest accomplishment is raising 3 Boston fans in the heart of NYC.\xe2\x80\x9d - @JSilverman22',b'davidesilverman',[],919
2021-09-25 00:04:23,"b'Boston College High vs Marshfield | Massachusetts High School Football Live stream Go Watch Live Here\xe2\x9e\xa1\xef\xb8\x8f@Leniamillia The Marshfield (MA) varsity football team has a home non-conference game vs. Boston College High (Boston, MA) today @ 7p.'",b'Leniamillia',[],3
2021-09-25 00:04:22,"b""@Mister_SilenceN Yup I'm really glad to hear that. I would have checked in but I haven't been on Twitter much. Really happy you made it through. Stay safe my friend, and greetings from Boston""",b'retrogameoldman',[],366
2021-09-25 00:04:21,b'@Mellecon @OneYearWorld My dad and his rotten Boston who always looks grumpy even when she\xe2\x80\x99s happy \xf0\x9f\x98\x82 https://t.co/LtOKtWs69A',b'sjacobs1791',[],205
2021-09-25 00:04:21,b'The Yankees are having a Tea Party in Boston. https://t.co/nRUkBYyQBW',b'djlarocka',[],1065
2021-09-25 00:04:13,"b'When I left for work this morning my family was in Queens with no plans to come to Boston. I come home and they\xe2\x80\x99re all here, &amp; dinner was served. How are they here when I had plans to go to them. \xf0\x9f\x98\xad'",b'FulanaDelBae',[],620
2021-09-25 00:04:03,"b'Timely article that explains exactly why I\xe2\x80\x99m volunteering as a mentor for @thevalpro, helping first generation college students coming out of Boston public schools. https://t.co/CxxInQWvvF https://t.co/XaygWyTwKJ'",b'AllostEricSite',[],1163
2021-09-25 00:04:02,"b'A good sign for #Rays fans, as New York leads Boston now 6-0.  A #Rays win and Boston loss would get Tampa Bay to the precipice of a second straight division title. #Rays'",b'stevecarney',"['Rays', 'Rays', 'Rays']",7725
2021-09-25 00:03:59,"b'@aredridel @WelcomeToDot @Short_epics Just FYI the profit margin for most development in Boston is ~10% (sometimes much lower). A few high profile projects (esp. in the Seaport) have had much higher margins, but they are by no means the norm.'",b'eherot',[],760
2021-09-25 00:03:58,b'The person who chose those Boston Red Sox uniforms has likely suffered a catastrophic head injury',b'apierno',[],3449
2021-09-25 00:03:54,b'@GinaMuscato This series reminds me of 78 when we swept Boston four game series and won the pennent and w.s',b'wil82166792',[],36
2021-09-25 00:03:52,"b'By the way, wtf is going on with Boston\xe2\x80\x99s jerseys??'",b'UConnSean',[],269
2021-09-25 00:03:52,b'FUCK BOSTON AND FUCK THE RED SOX!!! Fuckin remember being in elementary school watching the rivalry against the Red Sox when it was ortiz youkillis or however u spell that crazy lookin Mf name and dustin pedroia',b'zilinski212',[],2740
2021-09-25 00:03:46,"b'@iopish @Artie_boston Complaining won\xe2\x80\x99t make them fix the game quickly. And Im sorry, if a video game has the power to \xe2\x80\x9cruin\xe2\x80\x9d your day, then you should probably reconsider your priorities.'",b'MightyOrdd',[],6
2021-09-25 00:03:41,b'Boston play the Yankees sounds like it\xe2\x80\x99s gonna be a 5 hr game',b'steelsoxyJ78',[],74
2021-09-25 00:03:38,"b'Learn how Boston Ballet mistress Larissa Ponomarenko coaches her dancers towards strength, coordination and artistry in the use of their arms.  https://t.co/hlGA1dvex4'",b'pointe_magazine',[],60875
2021-09-25 00:03:32,b'Ugly ass yellow jerseys. Foh Boston LMFAO',b'Zaaayy_',[],1204
2021-09-25 00:03:32,b'@MakiItohSimp142 what is Boston homaging with those uniform colors?',b'WriterComicNYer',[],822
2021-09-25 00:03:28,b'The entire city of Boston getting ready to scream racial slurs at the Yankee players https://t.co/HB9rMGTyB7',b'ChrisFIexen',[],306
2021-09-25 00:03:15,"b'#NOWPLAYING  https://t.co/EK2HuPNeIg 8zipp - 8zipp - Zipp Talkin       ""THE HOME OF BOSTON HIP HOP""'",b'funkyfresh1',['NOWPLAYING'],3763
2021-09-25 00:03:12,"b""I checked in at Bova's Bakery on #Yelp https://t.co/2wKAvWAIum""",b'romanovb836',['Yelp'],282
2021-09-25 00:03:12,"b'Louisville holds the edge in possession but Boston College is defending well on the road  24\xe2\x80\x99 | BC 0, UL 0'",b'BC_MSoccer',[],3427
2021-09-25 00:03:10,b'Mizzou at Boston College: Five things to watch https://t.co/a3UT6YhkRz',b'STL_SportsNews',[],6693
2021-09-25 00:03:09,"b""South End 1 Bed 1 Bath BOSTON Boston - $2,600: Video tour available! https://t.co/KuTIHNoAhG Spacious 1 bed 1 bath in Boston's South End Conveniently located on Mass Ave Unit features: TONS of natural\xe2\x80\xa6 https://t.co/pqKhFmb431 #southendapartments #apartmentsforrentinsouthend https://t.co/HWXRCCn6zJ""",b'southendpads',"['southendapartments', 'apartmentsforrentinsouthend']",967
2021-09-25 00:03:08,"b""@Shockmain Yes. BUFFALO TOM. Old Boston area band from the 1980's.""",b'bp_three',[],798
2021-09-25 00:03:04,"b'Knicks, Toronto, Lakers, Boston, GSW, Dallas e Magic https://t.co/aHr7vhq7lY'",b'sciluan_',[],796
2021-09-25 00:03:03,"b'@drhoops63 @TSMrgoham11 @celtics I couldn\xe2\x80\x99t agree more. Having Al back I think will be great for Rob, and was such a good vet in his last time at Boston'",b'ShastorTS',[],511
2021-09-25 00:03:03,b'@JohnnyD_cm @_hiddenagenda @LogicalReterg @JoeEason1 @Michael98410246 @doctorbuttons @boston_hoax @MaidelK @SurferCosmic @try_thinking @earthisaglobe @PTroubleshooter @LulPepega @edempsey107 @pauledevans @shopatten @KayeTatton @1w1lld3bunky0u @FlatEarthD @AiNaTow @MarroniDean @VeritatisetLum1 @Nack__Jicholson @Freak0nIine @aurora_mari_ @watermole6 @Wandaspangler2 @philennogiets @PrismPrime @DennisWhalebone @GPeepo @TheViking_North @chielsin2 @Judah_Slave @NoLongerThatGuy @stephanus_56405 @Amos89862803 @BleedingCrysta1 @RandyNorthrup2 @ChickenQuantum @Glad2bAtheist @sdaws5MUFC @sgtrolls3 @expoztruth @BabyDexy99 @veerhans5 @GavinVS44 @SkyDog_59 @CjMorow I think @CavemanOoga would take exception to this.',b'GordonSBrooks',[],432
2021-09-25 00:03:01,b'Yeah baby. The #Yankees came to Boston with all business. Giancarlo Stanton hits a 3 run bomb to give the Yanks a commanding 6-0 lead in the 3rd inning. https://t.co/NPI9xkkdtJ',b'emarin671',['Yankees'],2482
2021-09-25 00:02:57,b'Boston Red Sox or @TheSavBananas? Uniform infringement or ultimate form of flattery? https://t.co/mjs0RY8kVv',b'AnthonyDasher1',[],26015
2021-09-25 00:02:56,"b'@SolNataMD @EvilRedneckBob @JAJuvelisPhD @RichMcGowanMD @DrJoeQJarvis @DrLearnALot Sure, look at Paul Farmer. Half the year he works as an infectious disease specialist at the Brigham in Boston. Other half of the year he works for free in Haiti, Cuba and Russia.'",b'theoceanlawyers',[],6670
2021-09-25 00:02:54,"b""Can I say Boston's yellow duds are ugly af? I'm saying it.""",b'BaalShemDov',[],73
2021-09-25 00:02:51,"b'Eat shit, Boston. https://t.co/QUQl9cYE2f'",b'THATJoshKail',[],604
2021-09-25 00:02:50,b'Those hideous unis for the  Red Sox are the least Boston I can think of. @bostonredsox @TheFrankIsola',b'StevenAppelbau2',[],18
2021-09-25 00:02:48,b'The Evil Empire has UNLEASHED in Boston #SquadUp #EvilEmpire #GoYankees https://t.co/5s1kP7W48I',b'TaylorBizzarro',"['SquadUp', 'EvilEmpire', 'GoYankees']",161
2021-09-25 00:02:45,b'@IronTipo Yankees vs Boston \xe2\x9a\xbe\xef\xb8\x8f',b'kamishel',[],2714
2021-09-25 00:02:45,b'@ashleyfox_nyy Boston Marathon colors. They have special meaning to the city of Boston.',b'EastRiverHeron',[],426
2021-09-25 00:02:41,"b""Now Playing : Enposib ft. Roody Roodboy (10-10-18') Boston - Down Down -#KonpaMizikRocks #BalKonpaLive24Sou24""",b'KonpaMizik',"['KonpaMizikRocks', 'BalKonpaLive24Sou24']",628
2021-09-25 00:02:39,b'Beating Boston in Fenway is always nice',b'MiraaAnt_',[],758
2021-09-25 00:02:39,b'There was just some guy in Boston gear waving around for the cameras with a smile on his face after Stanton likely sealed the game with a bomb that landed in front of him.  WTS.',b'RarefiedLevin',[],288
2021-09-25 00:02:39,"b'Boston Red Sox send Jarren Duran back to WooSox, cut two pitchers (including Yacksel R\xc3\xados) in flurry of roste - https://t.co/YD97NbDDbl https://t.co/QM6Xrov8Bs'",b'NewsfeedsMedia',[],213
